Year,Revenue Type,Taxes Type,Taxes Category,RM Million
2000,Direct Taxes,Income Taxes,Companies,13905
2001,Direct Taxes,Income Taxes,Companies,20771
2002,Direct Taxes,Income Taxes,Companies,24642
2003,Direct Taxes,Income Taxes,Companies,23990
2004,Direct Taxes,Income Taxes,Companies,24388
2005,Direct Taxes,Income Taxes,Companies,26381
2006,Direct Taxes,Income Taxes,Companies,26477
2007,Direct Taxes,Income Taxes,Companies,32149
2008,Direct Taxes,Income Taxes,Companies,37741
2009,Direct Taxes,Income Taxes,Companies,30199
2010,Direct Taxes,Income Taxes,Companies,36266
2011,Direct Taxes,Income Taxes,Companies,46888
2012,Direct Taxes,Income Taxes,Companies,51288
2013,Direct Taxes,Income Taxes,Companies,58175
2014,Direct Taxes,Income Taxes,Companies,65240
2015,Direct Taxes,Income Taxes,Companies,63679
2016,Direct Taxes,Income Taxes,Companies,63625
2017,Direct Taxes,Income Taxes,Companies,64465
2018,Direct Taxes,Income Taxes,Companies,66474
2019,Direct Taxes,Income Taxes,Companies,63751
2020,Direct Taxes,Income Taxes,Companies,59385
2021,Direct Taxes,Income Taxes,Companies,79828.90794
2000,Direct Taxes,Income Taxes,Individuals,7015
2001,Direct Taxes,Income Taxes,Individuals,9436
2002,Direct Taxes,Income Taxes,Individuals,9889
2003,Direct Taxes,Income Taxes,Individuals,7984
2004,Direct Taxes,Income Taxes,Individuals,8977
2005,Direct Taxes,Income Taxes,Individuals,8649
2006,Direct Taxes,Income Taxes,Individuals,10196
2007,Direct Taxes,Income Taxes,Individuals,11661
2008,Direct Taxes,Income Taxes,Individuals,14966
2009,Direct Taxes,Income Taxes,Individuals,15590
2010,Direct Taxes,Income Taxes,Individuals,17805
2011,Direct Taxes,Income Taxes,Individuals,20203
2012,Direct Taxes,Income Taxes,Individuals,22977
2013,Direct Taxes,Income Taxes,Individuals,23055
2014,Direct Taxes,Income Taxes,Individuals,24423
2015,Direct Taxes,Income Taxes,Individuals,26321
2016,Direct Taxes,Income Taxes,Individuals,27566
2017,Direct Taxes,Income Taxes,Individuals,28945
2018,Direct Taxes,Income Taxes,Individuals,32605
2019,Direct Taxes,Income Taxes,Individuals,38680
2020,Direct Taxes,Income Taxes,Individuals,35906
2021,Direct Taxes,Income Taxes,Individuals,27050.72485
2000,Direct Taxes,Income Taxes,Petroleum,6010
2001,Direct Taxes,Income Taxes,Petroleum,9859
2002,Direct Taxes,Income Taxes,Petroleum,7636
2003,Direct Taxes,Income Taxes,Petroleum,8466
2004,Direct Taxes,Income Taxes,Petroleum,11479
2005,Direct Taxes,Income Taxes,Petroleum,14566
2006,Direct Taxes,Income Taxes,Petroleum,20674
2007,Direct Taxes,Income Taxes,Petroleum,20453
2008,Direct Taxes,Income Taxes,Petroleum,24191
2009,Direct Taxes,Income Taxes,Petroleum,27231
2010,Direct Taxes,Income Taxes,Petroleum,18713
2011,Direct Taxes,Income Taxes,Petroleum,27748
2012,Direct Taxes,Income Taxes,Petroleum,33934
2013,Direct Taxes,Income Taxes,Petroleum,29753
2014,Direct Taxes,Income Taxes,Petroleum,26956
2015,Direct Taxes,Income Taxes,Petroleum,11559
2016,Direct Taxes,Income Taxes,Petroleum,8422
2017,Direct Taxes,Income Taxes,Petroleum,11761
2018,Direct Taxes,Income Taxes,Petroleum,20082
2019,Direct Taxes,Income Taxes,Petroleum,20783
2020,Direct Taxes,Income Taxes,Petroleum,8551
2021,Direct Taxes,Income Taxes,Petroleum,11569.86406
2000,Direct Taxes,Income Taxes,Withholding and others,..
2001,Direct Taxes,Income Taxes,Withholding and others,..
2002,Direct Taxes,Income Taxes,Withholding and others,..
2003,Direct Taxes,Income Taxes,Withholding and others,62
2004,Direct Taxes,Income Taxes,Withholding and others,1275
2005,Direct Taxes,Income Taxes,Withholding and others,1193
2006,Direct Taxes,Income Taxes,Withholding and others,1428
2007,Direct Taxes,Income Taxes,Withholding and others,1395
2008,Direct Taxes,Income Taxes,Withholding and others,1577
2009,Direct Taxes,Income Taxes,Withholding and others,1897
2010,Direct Taxes,Income Taxes,Withholding and others,1667
2011,Direct Taxes,Income Taxes,Withholding and others,1893
2012,Direct Taxes,Income Taxes,Withholding and others,2463
2013,Direct Taxes,Income Taxes,Withholding and others,2317
2014,Direct Taxes,Income Taxes,Withholding and others,2377
2015,Direct Taxes,Income Taxes,Withholding and others,2426
2016,Direct Taxes,Income Taxes,Withholding and others,2695
2017,Direct Taxes,Income Taxes,Withholding and others,3392
2018,Direct Taxes,Income Taxes,Withholding and others,3325
2019,Direct Taxes,Income Taxes,Withholding and others,3293
2020,Direct Taxes,Income Taxes,Withholding and others,3072
2021,Direct Taxes,Income Taxes,Withholding and others,6339.859204
2000,Direct Taxes,Others,n.a.,2226
2001,Direct Taxes,Others,n.a.,2032
2002,Direct Taxes,Others,n.a.,2184
2003,Direct Taxes,Others,n.a.,2514
2004,Direct Taxes,Others,n.a.,2584
2005,Direct Taxes,Others,n.a.,2754
2006,Direct Taxes,Others,n.a.,2798
2007,Direct Taxes,Others,n.a.,3738
2008,Direct Taxes,Others,n.a.,3663
2009,Direct Taxes,Others,n.a.,3458
2010,Direct Taxes,Others,n.a.,4558
2011,Direct Taxes,Others,n.a.,5510
2012,Direct Taxes,Others,n.a.,6275
2013,Direct Taxes,Others,n.a.,7223
2014,Direct Taxes,Others,n.a.,7747
2015,Direct Taxes,Others,n.a.,7785
2016,Direct Taxes,Others,n.a.,7300
2017,Direct Taxes,Others,n.a.,7461
