Country,Sex,Age Group,Year,Ethnic Group,Value ('000 Person),
Malaysia,Total Sex,Total Age Group,1980,Total Ethnic Group,13879.3,
Malaysia,Total Sex,Total Age Group,1980,Bumiputera,7926.7,
Malaysia,Total Sex,Total Age Group,1980,Chinese,4460.1,
Malaysia,Total Sex,Total Age Group,1980,Indians,1189.8,
Malaysia,Total Sex,Total Age Group,1980,Others,302.7,
Malaysia,Total Sex,Total Age Group,1981,Total Ethnic Group,14256.9,
Malaysia,Total Sex,Total Age Group,1981,Bumiputera,8200.6,
Malaysia,Total Sex,Total Age Group,1981,Chinese,4521.1,
Malaysia,Total Sex,Total Age Group,1981,Indians,1212.7,
Malaysia,Total Sex,Total Age Group,1981,Others,322.5,
Malaysia,Total Sex,Total Age Group,1982,Total Ethnic Group,14651.1,
Malaysia,Total Sex,Total Age Group,1982,Bumiputera,8489.3,
Malaysia,Total Sex,Total Age Group,1982,Chinese,4581.6,
Malaysia,Total Sex,Total Age Group,1982,Indians,1236.6,
Malaysia,Total Sex,Total Age Group,1982,Others,343.5,
Malaysia,Total Sex,Total Age Group,1983,Total Ethnic Group,15048.2,
Malaysia,Total Sex,Total Age Group,1983,Bumiputera,8786.6,
Malaysia,Total Sex,Total Age Group,1983,Chinese,4637.7,
Malaysia,Total Sex,Total Age Group,1983,Indians,1259.0,
Malaysia,Total Sex,Total Age Group,1983,Others,364.9,
Malaysia,Total Sex,Total Age Group,1984,Total Ethnic Group,15450.4,
Malaysia,Total Sex,Total Age Group,1984,Bumiputera,9093.3,
Malaysia,Total Sex,Total Age Group,1984,Chinese,4690.6,
Malaysia,Total Sex,Total Age Group,1984,Indians,1279.9,
Malaysia,Total Sex,Total Age Group,1984,Others,386.6,
Malaysia,Total Sex,Total Age Group,1985,Total Ethnic Group,15882.7,
Malaysia,Total Sex,Total Age Group,1985,Bumiputera,9425.7,
Malaysia,Total Sex,Total Age Group,1985,Chinese,4747.1,
Malaysia,Total Sex,Total Age Group,1985,Indians,1301.2,
Malaysia,Total Sex,Total Age Group,1985,Others,408.7,
Malaysia,Total Sex,Total Age Group,1986,Total Ethnic Group,16329.4,
Malaysia,Total Sex,Total Age Group,1986,Bumiputera,9774.3,
